042, 030, 020, 13;
077, 076, 080, 1;
047, 037, 036, 2;
036, 015, 007, 3;
036, 022, 011, 4;
022, 022, 034, 5;
029, 022, 014, 6;
031, 024, 013, 7;
045, 036, 033, 8;
083, 046, 013, 9;
051, 034, 013, 10;
013, 018, 007, 11;
027, 025, 012, 12;
047, 032, 023, 13;
040, 044, 027, 8;
039, 021, 012, 4;
045, 030, 012, 10;
031, 027, 014, 6;
041, 028, 019, 6;
062, 035, 011, 10;
040, 031, 026, 8;
022, 026, 011, 12;
076, 074, 078, 1;
027, 020, 013, 6;
017, 020, 007, 11;
034, 014, 006, 3;
043, 028, 012, 10;
060, 033, 010, 10;
021, 021, 031, 5;
029, 026, 013, 12;
024, 024, 036, 5;
044, 044, 030, 8;
074, 073, 076, 1;
029, 024, 022, 6;
