043, 029, 022, 13;
040, 029, 020, 13;
136, 144, 132, 1;
147, 150, 119, 1;
127, 134, 123, 1;
120, 127, 120, 1;
118, 125, 117, 1;
124, 131, 125, 1;
053, 047, 048, 2;
049, 043, 044, 2;
042, 008, 005, 3;
037, 017, 009, 4;
038, 024, 012, 4;
022, 022, 029, 5;
017, 021, 042, 5;
015, 020, 047, 5;
023, 020, 026, 6;
019, 016, 015, 6;
022, 018, 015, 6;
024, 019, 011, 7;
026, 020, 014, 7;
037, 030, 028, 8;
078, 043, 013, 9;
073, 038, 010, 9;
077, 045, 009, 9;
080, 039, 012, 9;
047, 030, 011, 10;
048, 034, 012, 10;
010, 018, 007, 11;
023, 023, 011, 12;
025, 025, 014, 12;
022, 020, 010, 12;
039, 027, 021, 13;
012, 020, 009, 11;
077, 039, 010, 9;
023, 017, 009, 7;
034, 008, 005, 3;
046, 038, 040, 2;
011, 018, 010, 11;
014, 016, 035, 5;
015, 018, 037, 5;
101, 102, 103, 1;
016, 019, 040, 5;
023, 019, 022, 6;
033, 017, 009, 4;
018, 024, 046, 5;
047, 041, 042, 2;
021, 017, 013, 6;
101, 105, 105, 1;
101, 104, 100, 1;
044, 029, 011, 10;
095, 103, 101, 1;
041, 032, 032, 8;
037, 025, 019, 13;
